dataset,id,jev,qwen3.5-4b,qwen3.5-9b,qwen3.5-27b,qwen3.5-35b,qwen3.5-122b,qwen3.8-27b
banking77,banking77-test-00138,0,0,0,0,0,0,0
banking77,banking77-test-00526,1,1,1,1,1,1,1
banking77,banking77-test-02525,0,1,1,0,1,0,0
banking77,banking77-test-02611,1,1,1,1,1,1,1
banking77,banking77-test-01886,1,1,1,1,1,0,1
banking77,banking77-test-02701,0,0,0,0,0,0,0
banking77,banking77-test-02836,1,1,1,1,1,1,1
banking77,banking77-test-00963,1,0,1,1,0,1,1
banking77,banking77-test-01648,1,0,1,1,1,1,1
banking77,banking77-test-01351,0,0,0,0,0,0,0
banking77,banking77-test-02593,1,1,1,1,1,0,1
banking77,banking77-test-00891,0,0,0,1,0,0,0
banking77,banking77-test-00040,1,0,0,1,1,1,1
banking77,banking77-test-01227,1,0,0,0,0,0,1
banking77,banking77-test-03043,1,1,1,1,1,1,1
banking77,banking77-test-02135,1,1,1,1,1,1,1
banking77,banking77-test-02367,1,1,1,1,1,1,1
banking77,banking77-test-02633,1,1,1,1,1,1,1
banking77,banking77-test-00580,1,1,1,1,1,1,1
banking77,banking77-test-01028,1,1,1,1,1,1,1
banking77,banking77-test-02551,0,0,0,0,0,0,0
banking77,banking77-test-01781,1,0,1,0,1,0,1
banking77,banking77-test-02698,0,1,1,1,1,1,1
banking77,banking77-test-02989,1,1,0,1,1,1,1
banking77,banking77-test-02307,1,1,1,1,1,1,1
banking77,banking77-test-01236,1,0,1,1,1,1,0
banking77,banking77-test-00213,1,1,1,1,1,1,1
banking77,banking77-test-02598,1,1,1,1,1,1,1
banking77,banking77-test-00912,0,0,1,0,0,1,0
banking77,banking77-test-01045,1,1,1,1,1,1,1
banking77,banking77-test-02086,1,1,1,1,1,1,1
banking77,banking77-test-02282,1,1,1,1,1,1,1
banking77,banking77-test-01496,0,1,0,1,1,1,1
banking77,banking77-test-02205,1,1,1,1,1,1,1
banking77,banking77-test-02760,1,1,1,1,1,1,1
banking77,banking77-test-02187,0,1,1,1,1,0,0
banking77,banking77-test-00850,1,1,1,1,1,1,1
banking77,banking77-test-02013,1,1,1,1,1,1,1
banking77,banking77-test-00753,1,1,1,1,1,1,1
banking77,banking77-test-02610,1,1,0,0,0,0,0
banking77,banking77-test-00235,1,0,0,0,0,0,0
banking77,banking77-test-02177,0,0,0,0,0,0,0
banking77,banking77-test-00290,1,1,1,1,1,1,1
banking77,banking77-test-02691,0,0,0,0,0,0,0
banking77,banking77-test-02975,1,1,1,1,1,1,0
banking77,banking77-test-02144,1,1,1,1,1,1,1
banking77,banking77-test-00762,1,0,1,1,1,1,1
banking77,banking77-test-01904,1,1,1,1,1,1,1
banking77,banking77-test-00365,1,1,1,1,1,1,1
banking77,banking77-test-00132,1,1,1,1,1,1,1
banking77,banking77-test-02903,1,1,1,1,1,1,1
banking77,banking77-test-02876,1,1,1,1,1,1,1
banking77,banking77-test-01384,1,1,1,1,1,1,1
banking77,banking77-test-02260,0,0,0,0,0,0,1
banking77,banking77-test-00054,1,1,1,1,1,1,1
banking77,banking77-test-00485,1,0,0,1,0,0,0
banking77,banking77-test-00508,1,1,1,1,1,1,1
banking77,banking77-test-00890,0,0,0,0,0,1,1
banking77,banking77-test-03035,1,1,1,1,1,1,1
banking77,banking77-test-01401,1,1,1,1,1,1,1
banking77,banking77-test-02953,1,1,1,1,1,1,1
banking77,banking77-test-01622,1,0,0,0,1,0,1
banking77,banking77-test-01107,1,1,0,0,0,1,0
banking77,banking77-test-00190,1,1,1,1,1,1,1
banking77,banking77-test-00651,1,1,1,1,1,1,1
banking77,banking77-test-02793,1,0,0,1,1,0,0
banking77,banking77-test-00003,0,1,1,1,0,1,0
banking77,banking77-test-00856,1,1,1,1,1,1,1
banking77,banking77-test-02763,0,0,0,0,0,0,0
banking77,banking77-test-01136,1,1,1,1,1,1,1
banking77,banking77-test-02380,1,1,1,1,1,1,1
banking77,banking77-test-00108,1,1,1,1,1,1,1
banking77,banking77-test-01033,1,0,0,1,1,1,1
banking77,banking77-test-02752,1,1,1,1,1,1,1
banking77,banking77-test-00346,1,1,1,1,1,1,1
banking77,banking77-test-02349,1,1,1,1,1,1,1
banking77,banking77-test-02652,1,1,1,1,1,1,1
banking77,banking77-test-00728,1,1,1,1,1,1,1
banking77,banking77-test-02919,1,1,1,1,1,1,1
banking77,banking77-test-02087,1,1,1,1,1,1,1
banking77,banking77-test-02516,0,0,0,0,0,0,0
banking77,banking77-test-00343,1,1,1,1,1,1,1
banking77,banking77-test-00430,1,0,1,1,1,1,1
banking77,banking77-test-02354,1,1,1,1,1,1,1
banking77,banking77-test-00455,1,1,1,1,1,1,1
banking77,banking77-test-02955,1,0,1,0,0,1,1
banking77,banking77-test-00820,1,1,1,1,1,1,1
banking77,banking77-test-02782,1,0,1,1,1,1,1
banking77,banking77-test-00984,1,1,1,1,1,0,1
banking77,banking77-test-00701,1,1,1,1,1,1,1
banking77,banking77-test-02253,0,0,0,0,0,0,0
